name,number_of_locations,priority
Brown-capped Vireo,2,
Brown-hooded Parrot,2,
Buff-rumped Warbler,2,
Charming Hummingbird,2,
Chestnut-backed Antbird,2,
Chestnut-capped Brush-Finch,2,
Chestnut-collared Swift,2,
Cinnamon Becard,2,
Cocoa Woodcreeper,2,
Collared Forest-Falcon,2,
Collared Redstart,2,Y
Common Chlorospingus,2,
Costa Rican Swift,2,
Crested Caracara,2,Y
Crested Guan,2,
Crested Owl,2,
Crowned Woodnymph,2,
Double-toothed Kite,2,
Eastern Meadowlark,2,
Flame-colored Tanager,2,Y
Flame-throated Warbler,2,
Gartered Trogon,2,
Golden-browed Chlorophonia,2,
Gray Hawk,2,
Gray-breasted Wood-Wren,2,
Gray-chested Dove,2,
Gray-crowned Yellowthroat,2,
Grayish Saltator,2,Y
Great Antshrike,2,
Green Heron,2,
Green Honeycreeper,2,
Green Violetear,2,Y
Hairy Woodpecker,2,
Hoffmann's Woodpecker,2,Y
House Sparrow,2,
hummingbird sp.,2,
Inca Dove,2,Y
Keel-billed Toucan,2,
Kentucky Warbler,2,
King Vulture,2,
Large-footed Finch,2,Y
Lesser Elaenia,2,
Lesser Swallow-tailed Swift,2,
Little Tinamou,2,
Long-billed Gnatwren,2,
Long-tailed Silky-flycatcher,2,Y
Magnificent Hummingbird,2,Y
Mangrove Swallow,2,
Masked Tityra,2,
Mealy Parrot,2,
Montezuma Oropendola,2,Y
Mottled Owl,2,
Mountain Elaenia,2,
Mountain Thrush,2,Y
Mourning Warbler,2,
Neotropic Cormorant,2,
Northern Jacana,2,
Northern Rough-winged Swallow,2,
Northern Waterthrush,2,
Ornate Hawk-Eagle,2,
Pale-billed Woodpecker,2,
parakeet sp.,2,
Plumbeous Kite,2,
Red-capped Manakin,2,
Red-crowned Woodpecker,2,
Red-lored Parrot,2,Y
Resplendent Quetzal,2,Y
Ringed Kingfisher,2,
Riverside Wren,2,
Rock Pigeon,2,
Ruddy Treerunner,2,
Ruddy Woodcreeper,2,
Ruddy-capped Nightingale-Thrush,2,Y
Ruddy-tailed Flycatcher,2,
Rufous Mourner,2,
Rufous-browed Peppershrike,2,
Rufous-winged Woodpecker,2,
Scaly-breasted Hummingbird,2,
Scarlet Macaw,2,Y
Scintillant Hummingbird,2,
Short-tailed Hawk,2,
Silver-throated Tanager,2,
Slaty Flowerpiercer,2,Y
Slaty-tailed Trogon,2,
Smooth-billed Ani,2,
Snowy Egret,2,
Sooty Thrush,2,Y
Speckled Tanager,2,
Spectacled Owl,2,Y
Spot-crowned Woodcreeper,2,Y
Spotted Wood-Quail,2,
Streaked Flycatcher,2,
Stripe-throated Hermit,2,
Sulphur-bellied Flycatcher,2,
Tawny-winged Woodcreeper,2,
Thick-billed Seed-Finch,2,
Tropical Gnatcatcher,2,
Violet-headed Hummingbird,2,
Volcano Hummingbird,2,
Wedge-billed Woodcreeper,2,
Western Wood-Pewee,2,
White-crested Coquette,2,
White-fronted Parrot,2,
White-lined Tanager,2,
White-naped Brush-Finch,2,
White-necked Puffbird,2,
White-throated Crake,2,
White-throated Mountain-gem,2,Y
White-whiskered Puffbird,2,
Wood Stork,2,Y
Wood Thrush,2,
Yellow-bellied Siskin,2,
Yellow-bellied Tyrannulet,2,
Yellow-billed Cacique,2,
Yellow-crowned Euphonia,2,
Yellow-headed Caracara,2,
Yellowish Flycatcher,2,
Yellow-olive Flycatcher,2,
Yellow-thighed Finch,2,Y
Yellow-throated Euphonia,2,
Yellow-winged Vireo,2,
Zone-tailed Hawk,2,
Agami Heron,1,
American Oystercatcher,1,
American Pygmy Kingfisher,1,
American Redstart,1,
Bare-shanked Screech-Owl,1,
Barred Becard,1,
Barred Parakeet,1,
Bat Falcon,1,
Bay Wren,1,
Black-and-white Owl,1,
Black-and-white Warbler,1,
Black-bellied Plover,1,
Black-bellied Whistling-Duck,1,
Black-bellied Wren,1,
